id,title,description,category,source,synthetic,template_family,generator_version
S000028,Horario de atención,Quisiera saber si el soporte atiende fuera del horario de oficina. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1
S000029,Los resultados aparecen con retraso,"Los filtros funcionan correctamente, aunque la respuesta es demasiado lenta.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1
S000030,Consulta sobre políticas,Necesito información sobre las condiciones aplicables a privacidad. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000031,El procesamiento masivo demora demasiado,"La tarea masiva completa el trabajo, pero bloquea al usuario durante varios minutos.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1
S000032,Necesitamos nuevos roles,Necesitamos configurar permisos por módulo para diferentes tipos de usuario. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,roles_permisos,v0.1
S000033,No puedo activar mi cuenta,El enlace recibido para activar la cuenta muestra cuenta no encontrada desde que cambié la configuración. El problema también fue confirmado por otro usuario.,acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1
S000034,Tiempo de respuesta elevado,"El endpoint funciona, aunque responde con mucha demora cada vez que lo intento. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,api_lenta,v0.1
S000035,Nuevo método de autenticación,Sería útil incorporar autenticación con Apple para facilitar el acceso. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,nuevo_login,v0.1
S000036,Información sobre los planes,Quiero conocer las diferencias entre la suscripción mensual y el plan profesional. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,planes_precios,v0.1
S000037,¿Cuáles son los requisitos?,Necesito información sobre las condiciones aplicables a privacidad. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000038,¿Cuáles son los requisitos?,¿Qué requisitos debo cumplir para solicitar un reembolso?,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000039,¿Cuánto demora este proceso?,Quisiera conocer el plazo aproximado para completar la activación de una cuenta. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,tiempos_estimados,v0.1
S000040,Tiempo normal de activación,Quisiera conocer el plazo aproximado para completar la activación de una cuenta.,consulta_general,synthetic_generator,true,tiempos_estimados,v0.1
S000041,Necesito corregir los datos fiscales,La información tributaria del documento no coincide con la registrada en la cuenta. Necesito continuar con el proceso cuanto antes.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1
S000042,Los resultados aparecen con retraso,"Los filtros funcionan correctamente, aunque la respuesta es demasiado lenta. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1
S000043,La misma operación se guarda dos veces,"Cada vez que guardo, la lista muestra el mismo elemento repetido. Necesito continuar con el proceso cuanto antes.",error_tecnico,synthetic_generator,true,duplicados,v0.1
S000044,Solicito un reembolso,Necesito devolver una renovación automática porque se realizó por error. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,reembolso,v0.1
S000045,Solicito filtros combinados,"Quisiera filtrar facturas por fecha, estado y responsable al mismo tiempo.",solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1
S000046,Me cobraron dos veces,"Solo confirmé el pago una vez, pero se registraron dos cobros idénticos.",pagos_facturacion,synthetic_generator,true,cobro_duplicado,v0.1
S000047,Necesito instrucciones para completar el proceso,¿Qué pasos debo seguir para cambiar una configuración correctamente?,consulta_general,synthetic_generator,true,como_usar,v0.1
S000048,Los reportes se generan lentamente,"El reporte se genera correctamente, aunque tarda cinco minutos en completarse. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,reporte_lento,v0.1
S000049,Necesito conocer el estado del trámite,¿Cómo verifico si una solicitud de soporte ya fue completado?,consulta_general,synthetic_generator,true,estado_proceso,v0.1
S000050,¿Dónde encuentro esta opción?,Quisiera saber cómo actualizar mis datos dentro de la plataforma. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,como_usar,v0.1
S000051,Procesamiento lento de archivos,"La operación no falla, aunque de procesar es mucho más lenta que antes.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1
S000052,Los reportes se generan lentamente,"El reporte se genera correctamente, aunque tarda más de quince minutos en completarse. Antes funcionaba con normalidad.",rendimiento,synthetic_generator,true,reporte_lento,v0.1
S000053,Solicito filtros combinados,Solicito una opción para combinar varios criterios al consultar facturas.,solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1
S000054,No puedo entrar después de cambiar mi correo,"El cambio de el nombre de usuario fue confirmado, pero el acceso sigue usando los datos anteriores. Antes funcionaba con normalidad.",acceso_autenticacion,synthetic_generator,true,cambio_datos_acceso,v0.1
S000055,¿La plataforma incluye esta función?,¿Está disponible el acceso para varios usuarios en mi plan actual? Necesito continuar con el proceso cuanto antes.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1
S000056,Datos incorrectos en la factura,La factura muestra el nombre del cliente que no corresponde a mi empresa. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1
S000057,No se actualizan los datos,"La plataforma confirma la actualización, pero al volver a entrar aparecen la configuración previa. El problema también fue confirmado por otro usuario.",error_tecnico,synthetic_generator,true,datos_no_guardados,v0.1
S000058,El módulo demora en mostrar información,La pantalla responde correctamente después de esperar casi dos minutos cada vez que lo intento. Esto sucede en más de un dispositivo.,rendimiento,synthetic_generator,true,carga_lenta,v0.1
S000059,No se sincronizan los datos externos,La plataforma muestra un error cada vez que intenta comunicarse con el servicio de almacenamiento. Necesito continuar con el proceso cuanto antes.,error_tecnico,synthetic_generator,true,integracion_fallida,v0.1
S000060,La sesión se cierra sola,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y el proceso queda detenido. Esto sucede en más de un dispositivo.",acceso_autenticacion,synthetic_generator,true,sesion_expirada,v0.1
S000061,Falló la conexión con otro servicio,"La integración con el CRM estaba funcionando, pero dejó de enviar información desde hace unos minutos. Antes funcionaba con normalidad.",error_tecnico,synthetic_generator,true,integracion_fallida,v0.1
S000062,Agregar filtros avanzados,Solicito una opción para combinar varios criterios al consultar reportes. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1
S000063,La búsqueda demora mucho,"Al consultar documentos, la pantalla queda esperando antes de mostrar coincidencias.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1
S000064,El procesamiento masivo demora demasiado,"La tarea masiva completa el trabajo, pero bloquea al usuario durante mucho más que antes. Ya intenté actualizar la página y volver a probar.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1
S000065,¿Cuánto cuesta el servicio?,¿Qué funciones están incluidas en la suscripción mensual?,consulta_general,synthetic_generator,true,planes_precios,v0.1
S000066,La cuenta permanece abierta después de salir,La opción de cerrar sesión me devuelve al panel sin finalizar la autenticación. Esto sucede en más de un dispositivo.,acceso_autenticacion,synthetic_generator,true,cierre_sesion,v0.1
S000067,Necesito corregir los datos fiscales,La información tributaria del documento no coincide con la registrada en la cuenta. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1
S000068,Agregar un nuevo método de pago,Necesitamos que la plataforma acepte una billetera digital para nuevas suscripciones.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000069,Consulta sobre el estado de una solicitud,Necesito orientación para revisar el avance de la emisión de un comprobante sin reportar un error.,consulta_general,synthetic_generator,true,estado_proceso,v0.1
S000070,¿Dónde encuentro esta opción?,¿Qué pasos debo seguir para crear un usuario correctamente?,consulta_general,synthetic_generator,true,como_usar,v0.1
S000071,Las solicitudes tardan varios segundos,"Las solicitudes devuelven datos correctos, pero el tiempo de respuesta supera diez segundos. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,api_lenta,v0.1
S000072,Integración con Slack,Sería útil enviar información automáticamente a Microsoft Teams. Esto sucede en más de un dispositivo.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1
S000073,Siguen cobrando una suscripción cancelada,"Solicité detener los cobros, pero el método de pago volvió a ser debitado.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1
S000074,Falló la conexión con otro servicio,La plataforma muestra un error cada vez que intenta comunicarse con el servicio de almacenamiento. Necesito continuar con el proceso cuanto antes.,error_tecnico,synthetic_generator,true,integracion_fallida,v0.1
S000075,Transacción aprobada sin activación,El banco confirma el cobro y la plataforma no reconoce la transacción desde esta mañana. Esto sucede en más de un dispositivo.,pagos_facturacion,synthetic_generator,true,pago_no_registrado,v0.1
S000076,La página tarda demasiado,"Desde desde la semana pasada, El dashboard tarda mucho más de lo habitual. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,carga_lenta,v0.1
S000077,El módulo demora en mostrar información,La pantalla responde correctamente después de esperar varios segundos de forma intermitente.,rendimiento,synthetic_generator,true,carga_lenta,v0.1
S000078,¿Cuánto demora este proceso?,¿Cuánto suele tardar la revisión de una solicitud en condiciones normales? Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,tiempos_estimados,v0.1
S000079,La aplicación se cierra sola,"Cada vez que intento editar un registro, la aplicación se cierra inesperadamente.",error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1
S000080,Necesitamos otra opción de cobro,Sería útil permitir pagos mediante débito automático además de las tarjetas. Esto sucede en más de un dispositivo.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000081,Código 2FA rechazado,El código generado por la aplicación autenticadora aparece como inválido aunque todavía está vigente. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,doble_factor,v0.1
S000082,Consulta sobre una característica,¿Está disponible la exportación de datos en mi plan actual? El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1
S000083,Procesamiento lento de archivos,"Puedo completar de subir, pero el tiempo de espera afecta el trabajo diario. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1
S000084,El módulo demora en mostrar información,"Desde desde ayer, La lista de usuarios tarda mucho más de lo habitual. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,carga_lenta,v0.1
S000085,Agregar modo oscuro,"Solicito una opción de tamaño de texto configurable, ya que actualmente no está disponible.",solicitud_funcionalidad,synthetic_generator,true,mejora_interfaz,v0.1
S000086,Necesito conocer el horario de ayuda,Necesito información sobre el horario y los canales de atención disponibles. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1
S000087,Quiero exportar a Excel,Solicito una opción que permita descargar la lista de usuarios en Google Sheets. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,nueva_exportacion,v0.1
S000088,Siguen cobrando una suscripción cancelada,La suscripción figura cancelada y aun así se procesó la renovación automática.,pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1
S000089,Código 2FA rechazado,El código generado por el correo aparece como inválido aunque todavía está vigente. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,doble_factor,v0.1
S000090,¿Cuáles son los requisitos?,Necesito información sobre las condiciones aplicables a conservación de datos.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000091,Necesitamos otra opción de cobro,Sería útil permitir pagos mediante pago por QR además de las tarjetas. Ya intenté actualizar la página y volver a probar.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000092,La plataforma se ralentiza con muchos usuarios,El rendimiento baja notablemente la mañana de los lunes y las operaciones tardan en completarse. Ya intenté actualizar la página y volver a probar.,rendimiento,synthetic_generator,true,lentitud_horaria,v0.1
S000093,Necesitamos otra opción de cobro,Necesitamos que la plataforma acepte transferencia bancaria para nuevas suscripciones.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000094,¿Cuándo está disponible soporte?,Quisiera saber si el soporte atiende por la noche.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1
S000095,No recibí la factura,La transacción terminó correctamente y no recibí ningún documento de pago desde la última actualización. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,factura_no_recibida,v0.1
S000096,Diferencias entre las suscripciones,Quiero conocer las diferencias entre la opción empresarial y el plan profesional. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,planes_precios,v0.1
S000097,¿Cuánto demora este proceso?,Quisiera conocer el plazo aproximado para completar la revisión de una solicitud. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,tiempos_estimados,v0.1
S000098,Error al descargar el documento,"El proceso de exportar la información termina, pero el archivo no puede abrirse. Necesito continuar con el proceso cuanto antes.",error_tecnico,synthetic_generator,true,archivo_falla,v0.1
S000099,Necesitamos acceso con Microsoft,Sería útil incorporar autenticación con el proveedor corporativo SSO para facilitar el acceso. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,nuevo_login,v0.1
S000100,¿Dónde encuentro esta opción?,No encuentro dónde se realiza actualizar mis datos; necesito orientación. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,como_usar,v0.1
S000101,Información sobre los planes,Quiero conocer las diferencias entre el plan básico y el plan profesional. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,planes_precios,v0.1
S000102,La carga de archivos es muy lenta,"La operación no falla, aunque de importar es mucho más lenta que antes. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1
S000103,Sesión expirada pocos segundos después de entrar,"Mientras trabajo, la sesión expira sin aviso desde el celular. Esto sucede en más de un dispositivo.",acceso_autenticacion,synthetic_generator,true,sesion_expirada,v0.1
S000104,Agregar modo oscuro,"Solicito una opción de modo oscuro, ya que actualmente no está disponible. El problema también fue confirmado por otro usuario.",solicitud_funcionalidad,synthetic_generator,true,mejora_interfaz,v0.1
S000105,Importe equivocado en la factura,La factura muestra un importe mayor respecto del precio informado. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,monto_incorrecto,v0.1
S000106,El enlace de activación está vencido,"Completé el registro, pero nunca llegó el mensaje de activación y no puedo iniciar sesión.",acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1
S000107,Pantalla vacía al abrir un módulo,La sección queda vacía varias veces al día y necesito volver a cargar la página. Necesito continuar con el proceso cuanto antes.,error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1
S000108,Rendimiento degradado en horas punta,"Cuando hay varios usuarios conectados, el sistema responde con mucha demora. Antes funcionaba con normalidad.",rendimiento,synthetic_generator,true,lentitud_horaria,v0.1
S000109,Nuevo método de autenticación,Solicito que los usuarios puedan ingresar mediante Google además del correo y contraseña.,solicitud_funcionalidad,synthetic_generator,true,nuevo_login,v0.1
S000110,Información sobre los planes,"Necesito información sobre precios, límites y condiciones de los planes disponibles.",consulta_general,synthetic_generator,true,planes_precios,v0.1
S000111,Servicio no disponible,Todos los usuarios reciben conexión rechazada al intentar ingresar. El problema también fue confirmado por otro usuario.,error_tecnico,synthetic_generator,true,servicio_caido,v0.1
S000112,Descargar documentos demora demasiado,"El archivo termina de descargar, pero incluso uno pequeño demora más de diez minutos. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1
S000113,Buscar registros toma varios segundos,"Al consultar tickets, la pantalla queda esperando antes de mostrar coincidencias. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1
S000114,¿La plataforma incluye esta función?,Quiero confirmar si la plataforma permite la descarga de facturas.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1
S000115,Agregar un nuevo método de pago,Solicito incorporar transferencia bancaria como alternativa de pago. Ya intenté actualizar la página y volver a probar.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000116,Nuevo método de autenticación,Sería útil incorporar autenticación con Microsoft para facilitar el acceso. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,nuevo_login,v0.1
S000117,Renovación automática no autorizada,"Solicité detener los cobros, pero el método de pago volvió a ser debitado.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1
S000118,La misma operación se guarda dos veces,"Cada vez que guardo, la lista muestra el mismo elemento repetido. Esto sucede en más de un dispositivo.",error_tecnico,synthetic_generator,true,duplicados,v0.1
S000119,Agregar un nuevo método de pago,Sería útil permitir pagos mediante transferencia bancaria además de las tarjetas.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000120,Aparecen dos cargos por la misma compra,"Solo confirmé el pago una vez, pero se registraron varios cobros idénticos.",pagos_facturacion,synthetic_generator,true,cobro_duplicado,v0.1
S000121,Necesitamos ejecuciones automáticas,Actualmente hacemos el proceso manualmente y necesitamos automatizar la actualización de estados.,solicitud_funcionalidad,synthetic_generator,true,automatizacion,v0.1
S000122,El código de verificación no funciona,El código generado por la aplicación autenticadora aparece como inválido aunque todavía está vigente. El problema también fue confirmado por otro usuario.,acceso_autenticacion,synthetic_generator,true,doble_factor,v0.1
S000123,Solicito filtros combinados,"La búsqueda actual es básica y necesitamos filtros por fecha, estado y responsable.",solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1
S000124,Tiempo normal de activación,¿Cuánto suele tardar la revisión de una solicitud en condiciones normales?,consulta_general,synthetic_generator,true,tiempos_estimados,v0.1
S000125,No aparece contenido en la sección,"Puedo navegar por el menú, pero el panel de usuarios no carga su contenido en la aplicación web. El problema también fue confirmado por otro usuario.",error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1
S000126,Buscar registros toma varios segundos,"Al consultar facturas, la pantalla queda esperando antes de mostrar coincidencias. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1
S000127,No ocurre nada al guardar,"La interfaz permite completar los datos, aunque descargar no responde solo en algunos intentos. El problema también fue confirmado por otro usuario.",error_tecnico,synthetic_generator,true,boton_no_responde,v0.1
S000128,Error al descargar el documento,Cualquier documento produce el mismo error cuando intento exportar la información.,error_tecnico,synthetic_generator,true,archivo_falla,v0.1
S000129,Necesito información sobre las condiciones,¿Qué requisitos debo cumplir para activar un plan? El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000130,Tiempo normal de activación,Necesito saber si una semana es el tiempo habitual de la revisión de una solicitud. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,tiempos_estimados,v0.1
S000131,El archivo generado está dañado,Al intentar exportar la información aparece archivo corrupto y la operación se detiene.,error_tecnico,synthetic_generator,true,archivo_falla,v0.1
S000132,Necesitamos acceso con Microsoft,Sería útil incorporar autenticación con Google para facilitar el acceso.,solicitud_funcionalidad,synthetic_generator,true,nuevo_login,v0.1
S000133,No aparece contenido en la sección,Al abrir el panel de usuarios solo aparece una pantalla blanca y no se muestra ningún dato.,error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1
S000134,Necesitamos una vista móvil,Necesitamos adaptar la interfaz con tamaño de texto configurable para nuestros usuarios.,solicitud_funcionalidad,synthetic_generator,true,mejora_interfaz,v0.1
S000135,Tiempo de respuesta elevado,"El endpoint funciona, aunque responde con mucha demora de forma intermitente.",rendimiento,synthetic_generator,true,api_lenta,v0.1
S000136,Necesitamos nuevos roles,Necesitamos configurar permisos por módulo para diferentes tipos de usuario. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,roles_permisos,v0.1
S000137,Las solicitudes tardan varios segundos,"El endpoint funciona, aunque responde con mucha demora siempre. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,api_lenta,v0.1
S000138,Tiempo de respuesta elevado,"Las solicitudes devuelven datos correctos, pero el tiempo de respuesta supera ocho segundos.",rendimiento,synthetic_generator,true,api_lenta,v0.1
S000139,Importar registros toma mucho tiempo,"El proceso de generación de reportes termina correctamente, pero tarda mucho más que antes. Ya intenté actualizar la página y volver a probar.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1
S000140,¿Cuándo está disponible soporte?,Necesito información sobre el horario y los canales de atención disponibles.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1
S000141,¿La plataforma incluye esta función?,¿Está disponible la exportación de datos en mi plan actual?,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1
S000142,Mis credenciales son rechazadas,"Intento ingresar con la contraseña recién actualizada, pero el sistema indica que los datos no son válidos desde ayer. Antes funcionaba con normalidad.",acceso_autenticacion,synthetic_generator,true,credenciales_rechazadas,v0.1
S000143,El archivo generado está dañado,Cualquier documento produce el mismo error cuando intento abrir el documento.,error_tecnico,synthetic_generator,true,archivo_falla,v0.1
S000144,Agregar inicio de sesión con Google,Solicito que los usuarios puedan ingresar mediante Google además del correo y contraseña.,solicitud_funcionalidad,synthetic_generator,true,nuevo_login,v0.1
S000145,La cuenta fue suspendida tras varios intentos,Después de ingresar desde otro dispositivo el sistema bloqueó la cuenta y ya no permite iniciar sesión. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1
S000146,Mi cuenta quedó bloqueada,Después de cambiar la contraseña el sistema bloqueó la cuenta y ya no permite iniciar sesión.,acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1
S000147,No puedo activar mi cuenta,"La cuenta aparece creada, aunque el sistema sigue pidiendo activación y necesito resolverlo hoy. Antes funcionaba con normalidad.",acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1
S000148,La tarea por lotes es muy lenta,"El proceso de generación de reportes termina correctamente, pero tarda un tiempo excesivo. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1
S000149,La carga de archivos es muy lenta,"La operación no falla, aunque de descargar es mucho más lenta que antes.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1
S000150,¿Cuáles son los requisitos?,Necesito información sobre las condiciones aplicables a uso de cuentas. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000151,Información sobre los planes,Quiero conocer las diferencias entre el plan profesional y el plan empresarial.,consulta_general,synthetic_generator,true,planes_precios,v0.1
S000152,Cuenta registrada pero sin activar,El enlace recibido para activar la cuenta muestra activación pendiente desde la semana pasada.,acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1
S000153,Mi pago fue rechazado,El sistema no acepta la tarjeta corporativa aunque tiene fondos y está habilitado para compras. Necesito continuar con el proceso cuanto antes.,pagos_facturacion,synthetic_generator,true,pago_rechazado,v0.1
