id,title,description,category,source,synthetic,template_family,generator_version,split
S000027,La aplicación falla durante una operación,El sistema deja de responder y se cierra en el navegador al realizar confirmar una operación. Antes funcionaba con normalidad.,error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1,train
S000028,Horario de atención,Quisiera saber si el soporte atiende fuera del horario de oficina. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1,train
S000029,Los resultados aparecen con retraso,"Los filtros funcionan correctamente, aunque la respuesta es demasiado lenta.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1,train
S000030,Consulta sobre políticas,Necesito información sobre las condiciones aplicables a privacidad. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000031,El procesamiento masivo demora demasiado,"La tarea masiva completa el trabajo, pero bloquea al usuario durante varios minutos.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1,train
S000032,Necesitamos nuevos roles,Necesitamos configurar permisos por módulo para diferentes tipos de usuario. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,roles_permisos,v0.1,train
S000033,No puedo activar mi cuenta,El enlace recibido para activar la cuenta muestra cuenta no encontrada desde que cambié la configuración. El problema también fue confirmado por otro usuario.,acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1,train
S000034,Tiempo de respuesta elevado,"El endpoint funciona, aunque responde con mucha demora cada vez que lo intento. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,api_lenta,v0.1,train
S000036,Información sobre los planes,Quiero conocer las diferencias entre la suscripción mensual y el plan profesional. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,planes_precios,v0.1,train
S000037,¿Cuáles son los requisitos?,Necesito información sobre las condiciones aplicables a privacidad. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000038,¿Cuáles son los requisitos?,¿Qué requisitos debo cumplir para solicitar un reembolso?,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000041,Necesito corregir los datos fiscales,La información tributaria del documento no coincide con la registrada en la cuenta. Necesito continuar con el proceso cuanto antes.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1,train
S000042,Los resultados aparecen con retraso,"Los filtros funcionan correctamente, aunque la respuesta es demasiado lenta. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1,train
S000043,La misma operación se guarda dos veces,"Cada vez que guardo, la lista muestra el mismo elemento repetido. Necesito continuar con el proceso cuanto antes.",error_tecnico,synthetic_generator,true,duplicados,v0.1,train
S000045,Solicito filtros combinados,"Quisiera filtrar facturas por fecha, estado y responsable al mismo tiempo.",solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1,train
S000047,Necesito instrucciones para completar el proceso,¿Qué pasos debo seguir para cambiar una configuración correctamente?,consulta_general,synthetic_generator,true,como_usar,v0.1,train
S000049,Necesito conocer el estado del trámite,¿Cómo verifico si una solicitud de soporte ya fue completado?,consulta_general,synthetic_generator,true,estado_proceso,v0.1,train
S000050,¿Dónde encuentro esta opción?,Quisiera saber cómo actualizar mis datos dentro de la plataforma. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,como_usar,v0.1,train
S000051,Procesamiento lento de archivos,"La operación no falla, aunque de procesar es mucho más lenta que antes.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1,train
S000053,Solicito filtros combinados,Solicito una opción para combinar varios criterios al consultar facturas.,solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1,train
S000054,No puedo entrar después de cambiar mi correo,"El cambio de el nombre de usuario fue confirmado, pero el acceso sigue usando los datos anteriores. Antes funcionaba con normalidad.",acceso_autenticacion,synthetic_generator,true,cambio_datos_acceso,v0.1,train
S000055,¿La plataforma incluye esta función?,¿Está disponible el acceso para varios usuarios en mi plan actual? Necesito continuar con el proceso cuanto antes.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000056,Datos incorrectos en la factura,La factura muestra el nombre del cliente que no corresponde a mi empresa. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1,train
S000057,No se actualizan los datos,"La plataforma confirma la actualización, pero al volver a entrar aparecen la configuración previa. El problema también fue confirmado por otro usuario.",error_tecnico,synthetic_generator,true,datos_no_guardados,v0.1,train
S000058,El módulo demora en mostrar información,La pantalla responde correctamente después de esperar casi dos minutos cada vez que lo intento. Esto sucede en más de un dispositivo.,rendimiento,synthetic_generator,true,carga_lenta,v0.1,train
S000060,La sesión se cierra sola,"Puedo entrar, pero al cambiar de sección vuelvo a la pantalla de acceso y el proceso queda detenido. Esto sucede en más de un dispositivo.",acceso_autenticacion,synthetic_generator,true,sesion_expirada,v0.1,train
S000062,Agregar filtros avanzados,Solicito una opción para combinar varios criterios al consultar reportes. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1,train
S000063,La búsqueda demora mucho,"Al consultar documentos, la pantalla queda esperando antes de mostrar coincidencias.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1,train
S000064,El procesamiento masivo demora demasiado,"La tarea masiva completa el trabajo, pero bloquea al usuario durante mucho más que antes. Ya intenté actualizar la página y volver a probar.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1,train
S000065,¿Cuánto cuesta el servicio?,¿Qué funciones están incluidas en la suscripción mensual?,consulta_general,synthetic_generator,true,planes_precios,v0.1,train
S000067,Necesito corregir los datos fiscales,La información tributaria del documento no coincide con la registrada en la cuenta. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1,train
S000068,Agregar un nuevo método de pago,Necesitamos que la plataforma acepte una billetera digital para nuevas suscripciones.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000069,Consulta sobre el estado de una solicitud,Necesito orientación para revisar el avance de la emisión de un comprobante sin reportar un error.,consulta_general,synthetic_generator,true,estado_proceso,v0.1,train
S000070,¿Dónde encuentro esta opción?,¿Qué pasos debo seguir para crear un usuario correctamente?,consulta_general,synthetic_generator,true,como_usar,v0.1,train
S000071,Las solicitudes tardan varios segundos,"Las solicitudes devuelven datos correctos, pero el tiempo de respuesta supera diez segundos. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,api_lenta,v0.1,train
S000072,Integración con Slack,Sería útil enviar información automáticamente a Microsoft Teams. Esto sucede en más de un dispositivo.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1,train
S000073,Siguen cobrando una suscripción cancelada,"Solicité detener los cobros, pero el método de pago volvió a ser debitado.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1,train
S000075,Transacción aprobada sin activación,El banco confirma el cobro y la plataforma no reconoce la transacción desde esta mañana. Esto sucede en más de un dispositivo.,pagos_facturacion,synthetic_generator,true,pago_no_registrado,v0.1,train
S000076,La página tarda demasiado,"Desde desde la semana pasada, El dashboard tarda mucho más de lo habitual. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,carga_lenta,v0.1,train
S000077,El módulo demora en mostrar información,La pantalla responde correctamente después de esperar varios segundos de forma intermitente.,rendimiento,synthetic_generator,true,carga_lenta,v0.1,train
S000079,La aplicación se cierra sola,"Cada vez que intento editar un registro, la aplicación se cierra inesperadamente.",error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1,train
S000080,Necesitamos otra opción de cobro,Sería útil permitir pagos mediante débito automático además de las tarjetas. Esto sucede en más de un dispositivo.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000081,Código 2FA rechazado,El código generado por la aplicación autenticadora aparece como inválido aunque todavía está vigente. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,doble_factor,v0.1,train
S000082,Consulta sobre una característica,¿Está disponible la exportación de datos en mi plan actual? El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000083,Procesamiento lento de archivos,"Puedo completar de subir, pero el tiempo de espera afecta el trabajo diario. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1,train
S000084,El módulo demora en mostrar información,"Desde desde ayer, La lista de usuarios tarda mucho más de lo habitual. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,carga_lenta,v0.1,train
S000086,Necesito conocer el horario de ayuda,Necesito información sobre el horario y los canales de atención disponibles. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1,train
S000087,Quiero exportar a Excel,Solicito una opción que permita descargar la lista de usuarios en Google Sheets. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,nueva_exportacion,v0.1,train
S000088,Siguen cobrando una suscripción cancelada,La suscripción figura cancelada y aun así se procesó la renovación automática.,pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1,train
S000089,Código 2FA rechazado,El código generado por el correo aparece como inválido aunque todavía está vigente. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,doble_factor,v0.1,train
S000090,¿Cuáles son los requisitos?,Necesito información sobre las condiciones aplicables a conservación de datos.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000091,Necesitamos otra opción de cobro,Sería útil permitir pagos mediante pago por QR además de las tarjetas. Ya intenté actualizar la página y volver a probar.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000092,La plataforma se ralentiza con muchos usuarios,El rendimiento baja notablemente la mañana de los lunes y las operaciones tardan en completarse. Ya intenté actualizar la página y volver a probar.,rendimiento,synthetic_generator,true,lentitud_horaria,v0.1,train
S000093,Necesitamos otra opción de cobro,Necesitamos que la plataforma acepte transferencia bancaria para nuevas suscripciones.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000094,¿Cuándo está disponible soporte?,Quisiera saber si el soporte atiende por la noche.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1,train
S000095,No recibí la factura,La transacción terminó correctamente y no recibí ningún documento de pago desde la última actualización. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,factura_no_recibida,v0.1,train
S000096,Diferencias entre las suscripciones,Quiero conocer las diferencias entre la opción empresarial y el plan profesional. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,planes_precios,v0.1,train
S000100,¿Dónde encuentro esta opción?,No encuentro dónde se realiza actualizar mis datos; necesito orientación. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,como_usar,v0.1,train
S000101,Información sobre los planes,Quiero conocer las diferencias entre el plan básico y el plan profesional. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,planes_precios,v0.1,train
S000102,La carga de archivos es muy lenta,"La operación no falla, aunque de importar es mucho más lenta que antes. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1,train
S000103,Sesión expirada pocos segundos después de entrar,"Mientras trabajo, la sesión expira sin aviso desde el celular. Esto sucede en más de un dispositivo.",acceso_autenticacion,synthetic_generator,true,sesion_expirada,v0.1,train
S000105,Importe equivocado en la factura,La factura muestra un importe mayor respecto del precio informado. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,monto_incorrecto,v0.1,train
S000106,El enlace de activación está vencido,"Completé el registro, pero nunca llegó el mensaje de activación y no puedo iniciar sesión.",acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1,train
S000107,Pantalla vacía al abrir un módulo,La sección queda vacía varias veces al día y necesito volver a cargar la página. Necesito continuar con el proceso cuanto antes.,error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1,train
S000108,Rendimiento degradado en horas punta,"Cuando hay varios usuarios conectados, el sistema responde con mucha demora. Antes funcionaba con normalidad.",rendimiento,synthetic_generator,true,lentitud_horaria,v0.1,train
S000110,Información sobre los planes,"Necesito información sobre precios, límites y condiciones de los planes disponibles.",consulta_general,synthetic_generator,true,planes_precios,v0.1,train
S000111,Servicio no disponible,Todos los usuarios reciben conexión rechazada al intentar ingresar. El problema también fue confirmado por otro usuario.,error_tecnico,synthetic_generator,true,servicio_caido,v0.1,train
S000112,Descargar documentos demora demasiado,"El archivo termina de descargar, pero incluso uno pequeño demora más de diez minutos. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1,train
S000113,Buscar registros toma varios segundos,"Al consultar tickets, la pantalla queda esperando antes de mostrar coincidencias. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1,train
S000114,¿La plataforma incluye esta función?,Quiero confirmar si la plataforma permite la descarga de facturas.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000115,Agregar un nuevo método de pago,Solicito incorporar transferencia bancaria como alternativa de pago. Ya intenté actualizar la página y volver a probar.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000117,Renovación automática no autorizada,"Solicité detener los cobros, pero el método de pago volvió a ser debitado.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1,train
S000118,La misma operación se guarda dos veces,"Cada vez que guardo, la lista muestra el mismo elemento repetido. Esto sucede en más de un dispositivo.",error_tecnico,synthetic_generator,true,duplicados,v0.1,train
S000119,Agregar un nuevo método de pago,Sería útil permitir pagos mediante transferencia bancaria además de las tarjetas.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000121,Necesitamos ejecuciones automáticas,Actualmente hacemos el proceso manualmente y necesitamos automatizar la actualización de estados.,solicitud_funcionalidad,synthetic_generator,true,automatizacion,v0.1,train
S000122,El código de verificación no funciona,El código generado por la aplicación autenticadora aparece como inválido aunque todavía está vigente. El problema también fue confirmado por otro usuario.,acceso_autenticacion,synthetic_generator,true,doble_factor,v0.1,train
S000123,Solicito filtros combinados,"La búsqueda actual es básica y necesitamos filtros por fecha, estado y responsable.",solicitud_funcionalidad,synthetic_generator,true,filtros_avanzados,v0.1,train
S000125,No aparece contenido en la sección,"Puedo navegar por el menú, pero el panel de usuarios no carga su contenido en la aplicación web. El problema también fue confirmado por otro usuario.",error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1,train
S000126,Buscar registros toma varios segundos,"Al consultar facturas, la pantalla queda esperando antes de mostrar coincidencias. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,busqueda_lenta,v0.1,train
S000127,No ocurre nada al guardar,"La interfaz permite completar los datos, aunque descargar no responde solo en algunos intentos. El problema también fue confirmado por otro usuario.",error_tecnico,synthetic_generator,true,boton_no_responde,v0.1,train
S000129,Necesito información sobre las condiciones,¿Qué requisitos debo cumplir para activar un plan? El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000133,No aparece contenido en la sección,Al abrir el panel de usuarios solo aparece una pantalla blanca y no se muestra ningún dato.,error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1,train
S000135,Tiempo de respuesta elevado,"El endpoint funciona, aunque responde con mucha demora de forma intermitente.",rendimiento,synthetic_generator,true,api_lenta,v0.1,train
S000136,Necesitamos nuevos roles,Necesitamos configurar permisos por módulo para diferentes tipos de usuario. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,roles_permisos,v0.1,train
S000137,Las solicitudes tardan varios segundos,"El endpoint funciona, aunque responde con mucha demora siempre. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,api_lenta,v0.1,train
S000138,Tiempo de respuesta elevado,"Las solicitudes devuelven datos correctos, pero el tiempo de respuesta supera ocho segundos.",rendimiento,synthetic_generator,true,api_lenta,v0.1,train
S000139,Importar registros toma mucho tiempo,"El proceso de generación de reportes termina correctamente, pero tarda mucho más que antes. Ya intenté actualizar la página y volver a probar.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1,train
S000140,¿Cuándo está disponible soporte?,Necesito información sobre el horario y los canales de atención disponibles.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1,train
S000141,¿La plataforma incluye esta función?,¿Está disponible la exportación de datos en mi plan actual?,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000142,Mis credenciales son rechazadas,"Intento ingresar con la contraseña recién actualizada, pero el sistema indica que los datos no son válidos desde ayer. Antes funcionaba con normalidad.",acceso_autenticacion,synthetic_generator,true,credenciales_rechazadas,v0.1,train
S000145,La cuenta fue suspendida tras varios intentos,Después de ingresar desde otro dispositivo el sistema bloqueó la cuenta y ya no permite iniciar sesión. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1,train
S000146,Mi cuenta quedó bloqueada,Después de cambiar la contraseña el sistema bloqueó la cuenta y ya no permite iniciar sesión.,acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1,train
S000147,No puedo activar mi cuenta,"La cuenta aparece creada, aunque el sistema sigue pidiendo activación y necesito resolverlo hoy. Antes funcionaba con normalidad.",acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1,train
S000148,La tarea por lotes es muy lenta,"El proceso de generación de reportes termina correctamente, pero tarda un tiempo excesivo. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1,train
S000149,La carga de archivos es muy lenta,"La operación no falla, aunque de descargar es mucho más lenta que antes.",rendimiento,synthetic_generator,true,archivos_lentos,v0.1,train
S000150,¿Cuáles son los requisitos?,Necesito información sobre las condiciones aplicables a uso de cuentas. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000151,Información sobre los planes,Quiero conocer las diferencias entre el plan profesional y el plan empresarial.,consulta_general,synthetic_generator,true,planes_precios,v0.1,train
S000152,Cuenta registrada pero sin activar,El enlace recibido para activar la cuenta muestra activación pendiente desde la semana pasada.,acceso_autenticacion,synthetic_generator,true,activacion_cuenta,v0.1,train
S000153,Mi pago fue rechazado,El sistema no acepta la tarjeta corporativa aunque tiene fondos y está habilitado para compras. Necesito continuar con el proceso cuanto antes.,pagos_facturacion,synthetic_generator,true,pago_rechazado,v0.1,train
S000154,Me cobraron un plan diferente,El total cobrado no coincide con el monto mostrado antes de confirmar la compra. Ya intenté actualizar la página y volver a probar.,pagos_facturacion,synthetic_generator,true,monto_incorrecto,v0.1,train
S000155,Renovación automática no autorizada,"Cancelé el servicio desde que cambié la configuración, pero hoy apareció un nuevo cargo. Necesito continuar con el proceso cuanto antes.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1,train
S000156,Problema de acceso luego de modificar mis datos,Actualicé el nombre de usuario y desde entonces ninguna de las credenciales me permite ingresar. Ya intenté actualizar la página y volver a probar.,acceso_autenticacion,synthetic_generator,true,cambio_datos_acceso,v0.1,train
S000157,Integración con Slack,Sería útil enviar información automáticamente a Google Drive.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1,train
S000158,No puedo entrar por bloqueo de cuenta,Después de varios intentos fallidos el sistema bloqueó la cuenta y ya no permite iniciar sesión. El problema también fue confirmado por otro usuario.,acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1,train
S000159,Acceso rechazado tras actualizar la contraseña,"Después de modificar el nombre de usuario, la cuenta quedó inaccesible desde la aplicación móvil. Necesito continuar con el proceso cuanto antes.",acceso_autenticacion,synthetic_generator,true,cambio_datos_acceso,v0.1,train
S000160,El pago no aparece registrado,"Realicé la renovación, pero la suscripción todavía figura como pendiente. Ya intenté actualizar la página y volver a probar.",pagos_facturacion,synthetic_generator,true,pago_no_registrado,v0.1,train
S000161,El sistema se pone lento por las tardes,"En las horas de mayor uso todas las pantallas tardan más, aunque fuera de ese horario funcionan bien. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,lentitud_horaria,v0.1,train
S000162,No puedo entrar después de cambiar mi correo,"El cambio de el número de teléfono fue confirmado, pero el acceso sigue usando los datos anteriores.",acceso_autenticacion,synthetic_generator,true,cambio_datos_acceso,v0.1,train
S000163,Consulta sobre una característica,Necesito saber dónde se encuentra la exportación de datos o si todavía no está habilitada. Necesito continuar con el proceso cuanto antes.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000164,¿Dónde reviso el avance?,Necesito orientación para revisar el avance de mi registro sin reportar un error. Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,estado_proceso,v0.1,train
S000165,Siguen cobrando una suscripción cancelada,"Cancelé el servicio desde la semana pasada, pero hoy apareció un nuevo cargo. Esto sucede en más de un dispositivo.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1,train
S000167,¿Dónde reviso el avance?,¿Cómo verifico si la emisión de un comprobante ya fue completado? Ya intenté actualizar la página y volver a probar.,consulta_general,synthetic_generator,true,estado_proceso,v0.1,train
S000169,El procesamiento masivo demora demasiado,"La tarea masiva completa el trabajo, pero bloquea al usuario durante mucho más que antes. Esto sucede en más de un dispositivo.",rendimiento,synthetic_generator,true,proceso_masivo_lento,v0.1,train
S000170,Acceso rechazado tras actualizar la contraseña,"El cambio de el nombre de usuario fue confirmado, pero el acceso sigue usando los datos anteriores. Necesito continuar con el proceso cuanto antes.",acceso_autenticacion,synthetic_generator,true,cambio_datos_acceso,v0.1,train
S000171,Agregar control detallado de accesos,Quisiera definir permisos específicos para usuarios invitados en lugar de usar perfiles fijos. El problema también fue confirmado por otro usuario.,solicitud_funcionalidad,synthetic_generator,true,roles_permisos,v0.1,train
S000172,Servicio no disponible,Todos los usuarios reciben un error 500 al intentar ingresar. El problema también fue confirmado por otro usuario.,error_tecnico,synthetic_generator,true,servicio_caido,v0.1,train
S000173,Consulta sobre una característica,Quiero confirmar si la plataforma permite la personalización de reportes. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000176,El comprobante no aparece,"El pago fue aprobado, pero no encuentro la factura en la sección de facturación. Necesito continuar con el proceso cuanto antes.",pagos_facturacion,synthetic_generator,true,factura_no_recibida,v0.1,train
S000177,La página queda en blanco,La sección queda vacía cada vez que lo intento y necesito volver a cargar la página.,error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1,train
S000178,Me cobraron un plan diferente,"Contraté una sola cuenta, pero el cobro corresponde a el plan empresarial. Antes funcionaba con normalidad.",pagos_facturacion,synthetic_generator,true,monto_incorrecto,v0.1,train
S000179,Pantalla vacía al abrir un módulo,"Puedo navegar por el menú, pero el panel de usuarios no carga su contenido desde el celular.",error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1,train
S000180,Importe equivocado en la factura,La factura muestra impuestos duplicados respecto del precio informado. Antes funcionaba con normalidad.,pagos_facturacion,synthetic_generator,true,monto_incorrecto,v0.1,train
S000181,Conectar la plataforma con otro servicio,Sería útil enviar información automáticamente a Microsoft Teams. Antes funcionaba con normalidad.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1,train
S000185,Nadie puede abrir la plataforma,Todos los usuarios reciben tiempo de espera agotado al intentar ingresar. Necesito continuar con el proceso cuanto antes.,error_tecnico,synthetic_generator,true,servicio_caido,v0.1,train
S000186,¿Dónde encuentro esta opción?,¿Qué pasos debo seguir para cerrar un ticket correctamente? Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,como_usar,v0.1,train
S000189,La misma operación se guarda dos veces,"Confirmo la operación una sola vez, pero el sistema genera dos registros iguales.",error_tecnico,synthetic_generator,true,duplicados,v0.1,train
S000191,Rendimiento degradado en horas punta,El rendimiento baja notablemente las horas de mayor uso y las operaciones tardan en completarse. Necesito continuar con el proceso cuanto antes.,rendimiento,synthetic_generator,true,lentitud_horaria,v0.1,train
S000192,El comprobante tiene información equivocada,El comprobante fue emitido con datos antiguos y necesito corregir el nombre del cliente. Ya intenté actualizar la página y volver a probar.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1,train
S000193,Necesitamos una nueva integración,Solicito integrar la plataforma con un CRM externo para recibir alertas. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1,train
